,id_seq1,target_seq1,id_seq2,target_seq2,distance
52,sequence_47787,5.0,sequence_47730,35.0,0.0126369043254715
81,sequence_47787,5.0,sequence_47688,90.0,0.0135351932823141
24,sequence_47787,5.0,sequence_47796,20.0,0.0111677608399457
115,sequence_47787,5.0,sequence_47732,30.0,0.0295524098051283
35,sequence_47787,5.0,sequence_47689,52.0,0.0128390342845634
54,sequence_47787,5.0,sequence_47797,27.0,0.0273887964196772
112,sequence_47787,5.0,sequence_47662,28.0,0.0347384611948486
111,sequence_47787,5.0,sequence_47811,24.0,0.0302941175579513
104,sequence_47787,5.0,sequence_47668,48.0,0.0248595037524261
6,sequence_47787,5.0,sequence_47784,21.0,0.0110595972488278
103,sequence_47787,5.0,sequence_47669,32.0,0.0237357918327167
55,sequence_47787,5.0,sequence_47798,23.0,0.0113290649636939
114,sequence_47787,5.0,sequence_47733,25.0,0.013232724956145
99,sequence_47787,5.0,sequence_47690,63.0,0.0130561534533727
109,sequence_47787,5.0,sequence_47726,120.0,0.0315487065840561
50,sequence_47787,5.0,sequence_47756,37.0,0.0322769038948679
51,sequence_47787,5.0,sequence_47775,23.0,0.0292057847537455
49,sequence_47787,5.0,sequence_47727,45.0,0.0306291950487045
23,sequence_47787,5.0,sequence_47783,24.5,0.0285268847218371
110,sequence_47787,5.0,sequence_47734,110.0,0.0317587840376997
