,id_seq1,target_seq1,id_seq2,target_seq2,distance
153,sequence_53082,55.0,sequence_19426,56.3,0.259728436783849
199,sequence_53082,55.0,sequence_19470,61.0,0.2444451014593556
82,sequence_53082,55.0,sequence_19378,52.4,0.2764305137841541
164,sequence_53082,55.0,sequence_19489,49.1,0.2698591420325214
218,sequence_53082,55.0,sequence_19471,60.0,0.254597070405663
160,sequence_53082,55.0,sequence_19501,57.2,0.2103830712603384
9,sequence_53082,55.0,sequence_19500,51.2,0.2222066310611375
209,sequence_53082,55.0,sequence_19481,63.1,0.254159841878314
184,sequence_53082,55.0,sequence_19365,53.0,0.2198423777449953
102,sequence_53082,55.0,sequence_19486,54.2,0.2671702593917618
5,sequence_53082,55.0,sequence_20061,45.0,0.2189819807052558
222,sequence_53082,55.0,sequence_19483,60.6,0.2383623356253457
172,sequence_53082,55.0,sequence_19414,54.7,0.2437195929545781
65,sequence_53082,55.0,sequence_19357,58.5,0.2705269442981121
50,sequence_53082,55.0,sequence_19376,53.0,0.2461980033334862
79,sequence_53082,55.0,sequence_19397,49.6,0.2676933074105221
128,sequence_53082,55.0,sequence_19388,48.4,0.2725856091579363
6,sequence_53082,55.0,sequence_19496,48.3,0.2666444035288149
104,sequence_53082,55.0,sequence_19468,54.8,0.2252847030677237
132,sequence_53082,55.0,sequence_19373,53.1,0.2568866983223533
217,sequence_53082,55.0,sequence_19367,61.0,0.2663483037612899
