,secuencia,K-means0.5,K-means0.55,K-means0.6000000000000001,K-means0.6500000000000001,K-means0.7000000000000002,K-means0.7500000000000002,K-means0.8000000000000003,K-means0.8500000000000003,K-means0.9000000000000004,K-means0.9500000000000004
0,sequence_47787,0,0,0,0,0,0,0,0,0,0
1,sequence_47684,0,0,0,0,0,0,0,0,0,0
2,sequence_47789,1,1,1,1,1,1,1,1,1,1
3,sequence_47790,1,1,1,1,1,1,1,1,1,1
4,sequence_47781,0,0,0,0,0,0,0,0,0,0
5,sequence_47777,0,0,0,0,0,0,0,0,0,0
6,sequence_47779,0,0,0,0,0,0,0,0,0,0
7,sequence_47784,0,0,0,0,0,0,0,0,0,0
8,sequence_47786,0,0,0,0,0,0,0,0,0,0
9,sequence_47782,0,0,0,0,0,0,0,0,0,0
10,sequence_47772,0,0,0,0,0,0,0,0,0,0
11,sequence_47795,0,0,0,0,0,0,0,0,0,0
12,sequence_47776,0,0,0,0,0,0,0,0,0,0
13,sequence_47685,1,1,1,1,1,1,1,1,1,1
14,sequence_47679,0,0,0,0,0,0,0,0,0,0
15,sequence_47695,0,0,0,0,0,0,0,0,0,0
16,sequence_47710,0,0,0,0,0,0,0,0,0,0
17,sequence_47686,1,1,1,1,1,1,1,1,1,1
18,sequence_47778,1,1,1,1,1,1,1,1,1,1
19,sequence_47780,1,1,1,1,1,1,1,1,1,1
20,sequence_47785,1,1,1,1,1,1,1,1,1,1
21,sequence_47803,2,2,2,2,2,2,2,2,2,2
22,sequence_47663,0,0,0,0,0,0,0,0,0,0
23,sequence_47757,0,0,0,0,0,0,0,0,0,0
24,sequence_47783,0,0,0,0,0,0,0,0,0,0
25,sequence_47796,0,0,0,0,0,0,0,0,0,0
26,sequence_47750,0,0,0,0,0,0,0,0,0,0
27,sequence_47760,0,0,0,0,0,0,0,0,0,0
28,sequence_47773,2,2,2,2,2,2,2,2,2,2
29,sequence_47768,0,0,0,0,0,0,0,0,0,0
30,sequence_47771,0,0,0,0,0,0,0,0,0,0
31,sequence_47681,1,1,1,1,1,1,1,1,1,1
32,sequence_47696,2,2,2,2,2,2,2,2,2,2
33,sequence_47680,1,1,1,1,1,1,1,1,1,1
34,sequence_47673,0,0,0,0,0,0,0,0,0,0
35,sequence_47700,1,1,1,1,1,1,1,1,1,1
36,sequence_47689,2,2,2,2,2,2,2,2,2,2
37,sequence_47683,1,1,1,1,1,1,1,1,1,1
