,id_seq1,target_seq1,id_seq2,target_seq2,distance
48,sequence_40826,539,sequence_40825,532,0.0783570673264385
79,sequence_40826,539,sequence_40867,622,0.3276438767930814
54,sequence_40826,539,sequence_40864,549,0.2118872813549694
45,sequence_40826,539,sequence_40835,535,0.2514746706926963
77,sequence_40826,539,sequence_40799,597,0.2566968445462468
19,sequence_40826,539,sequence_40818,522,0.3111213589582046
67,sequence_40826,539,sequence_40833,549,0.2927890537571377
23,sequence_40826,539,sequence_40831,525,0.1435508272355125
57,sequence_40826,539,sequence_40862,546,0.1714172395064161
18,sequence_40826,539,sequence_40817,528,0.3068135101327842
70,sequence_40826,539,sequence_40865,580,0.2334148667073287
0,sequence_40826,539,sequence_40787,510,0.175488119255977
