,id_seq1,target_seq1,id_seq2,target_seq2,distance
112,sequence_53082,55.0,sequence_19445,45.5,2.1262
57,sequence_53082,55.0,sequence_20040,47.2,1.8734
67,sequence_53082,55.0,sequence_19526,49.3,1.9132
158,sequence_53082,55.0,sequence_19437,46.7,2.1165
152,sequence_53082,55.0,sequence_19529,48.8,1.9005
125,sequence_53082,55.0,sequence_19429,50.9,2.1014
171,sequence_53082,55.0,sequence_19524,46.4,2.0101
59,sequence_53082,55.0,sequence_19432,51.0,2.1511
89,sequence_53082,55.0,sequence_19422,46.6,1.8861
82,sequence_53082,55.0,sequence_19378,52.4,2.0154
189,sequence_53082,55.0,sequence_19452,44.2,1.9736
19,sequence_53082,55.0,sequence_19417,47.9,1.9793
93,sequence_53082,55.0,sequence_19488,51.3,1.9694
2,sequence_53082,55.0,sequence_20048,39.8,1.9124
0,sequence_53082,55.0,sequence_19402,43.0,2.1123
170,sequence_53082,55.0,sequence_20066,49.9,1.8704
45,sequence_53082,55.0,sequence_19446,39.5,2.0439
250,sequence_53082,55.0,sequence_53098,42.0,1.5229
13,sequence_53082,55.0,sequence_19523,50.8,1.9948
103,sequence_53082,55.0,sequence_19389,44.0,1.9302
164,sequence_53082,55.0,sequence_19489,49.1,2.0762
78,sequence_53082,55.0,sequence_20051,42.5,1.8283
242,sequence_53082,55.0,sequence_53088,48.0,1.4038
91,sequence_53082,55.0,sequence_19431,50.5,1.9881
22,sequence_53082,55.0,sequence_53079,47.8,1.6746
49,sequence_53082,55.0,sequence_19490,52.9,1.9948
126,sequence_53082,55.0,sequence_19416,49.4,2.0553
30,sequence_53082,55.0,sequence_19430,45.7,1.9951
1,sequence_53082,55.0,sequence_20054,49.0,2.0022
37,sequence_53082,55.0,sequence_19506,49.3,2.0481
154,sequence_53082,55.0,sequence_19491,48.8,2.0552
84,sequence_53082,55.0,sequence_19433,50.1,2.0741
64,sequence_53082,55.0,sequence_19392,50.5,1.9139
155,sequence_53082,55.0,sequence_19421,53.0,1.8744
71,sequence_53082,55.0,sequence_19390,46.3,1.8528
10,sequence_53082,55.0,sequence_19453,47.3,1.9563
180,sequence_53082,55.0,sequence_53067,40.9,1.6899000000000002
4,sequence_53082,55.0,sequence_19525,48.8,2.0352
29,sequence_53082,55.0,sequence_53059,47.1,1.7325999999999997
148,sequence_53082,55.0,sequence_19457,43.6,2.0812
168,sequence_53082,55.0,sequence_19372,49.2,1.9577
39,sequence_53082,55.0,sequence_19530,45.6,1.9748
179,sequence_53082,55.0,sequence_19456,48.0,1.9998
135,sequence_53082,55.0,sequence_19435,51.4,2.0189
90,sequence_53082,55.0,sequence_19495,58.9,2.0147000000000004
117,sequence_53082,55.0,sequence_19521,53.0,1.7835
111,sequence_53082,55.0,sequence_19492,58.5,1.8166
186,sequence_53082,55.0,sequence_19528,47.1,1.8484
86,sequence_53082,55.0,sequence_19393,53.7,2.0412
62,sequence_53082,55.0,sequence_19505,42.4,2.0133
38,sequence_53082,55.0,sequence_20064,47.3,1.7635999999999998
32,sequence_53082,55.0,sequence_19369,47.9,1.9433
106,sequence_53082,55.0,sequence_19420,40.6,1.8664
162,sequence_53082,55.0,sequence_19395,49.7,1.8323
75,sequence_53082,55.0,sequence_20041,48.5,1.9273
87,sequence_53082,55.0,sequence_20065,46.5,1.8932
133,sequence_53082,55.0,sequence_19396,43.1,1.9879
169,sequence_53082,55.0,sequence_19507,46.0,1.9419
167,sequence_53082,55.0,sequence_53076,46.3,1.7388000000000003
