,id_seq1,target_seq1,id_seq2,target_seq2,distance
70,sequence_53082,55.0,sequence_19410,49.9,2385.3364
67,sequence_53082,55.0,sequence_19526,49.3,2024.9916
82,sequence_53082,55.0,sequence_19378,52.4,1936.0061
164,sequence_53082,55.0,sequence_19489,49.1,2041.5589
166,sequence_53082,55.0,sequence_19408,51.1,2436.9496
136,sequence_53082,55.0,sequence_53069,50.9,2173.7328
52,sequence_53082,55.0,sequence_19405,48.7,2075.6301000000003
155,sequence_53082,55.0,sequence_19421,53.0,2045.6754
148,sequence_53082,55.0,sequence_19457,43.6,2029.0117
201,sequence_53082,55.0,sequence_19366,60.0,2441.9359000000004
238,sequence_53082,55.0,sequence_19411,58.0,1979.7021
200,sequence_53082,55.0,sequence_19364,57.1,1925.519
111,sequence_53082,55.0,sequence_19492,58.5,2019.0033
211,sequence_53082,55.0,sequence_19476,62.2,2047.6231
115,sequence_53082,55.0,sequence_19377,50.3,2141.1108000000004
162,sequence_53082,55.0,sequence_19395,49.7,1895.8661
119,sequence_53082,55.0,sequence_19412,55.3,2077.2972
169,sequence_53082,55.0,sequence_19507,46.0,2199.7898000000005
157,sequence_53082,55.0,sequence_19368,56.2,2340.5319
134,sequence_53082,55.0,sequence_19527,50.1,1942.1006
102,sequence_53082,55.0,sequence_19486,54.2,1967.7029
183,sequence_53082,55.0,sequence_19355,58.8,2383.1298
173,sequence_53082,55.0,sequence_19485,58.0,1966.7758
219,sequence_53082,55.0,sequence_19475,59.1,1984.6367
51,sequence_53082,55.0,sequence_19406,53.8,2095.0855
151,sequence_53082,55.0,sequence_19454,43.1,2054.5954
237,sequence_53082,55.0,sequence_19385,58.2,2001.5368
203,sequence_53082,55.0,sequence_19358,59.1,2048.849
6,sequence_53082,55.0,sequence_19496,48.3,2074.4371
150,sequence_53082,55.0,sequence_19494,60.0,2150.0856000000003
94,sequence_53082,55.0,sequence_19375,49.9,1919.3151
