,id_seq1,target_seq1,id_seq2,target_seq2,distance
34,sequence_40826,539,sequence_40861,464,141.7391
36,sequence_40826,539,sequence_40854,465,141.7391
30,sequence_40826,539,sequence_40843,495,141.7391
37,sequence_40826,539,sequence_40853,463,141.7391
40,sequence_40826,539,sequence_40850,462,141.7391
35,sequence_40826,539,sequence_40812,464,141.7391
29,sequence_40826,539,sequence_40852,474,141.7391
25,sequence_40826,539,sequence_40815,498,141.7391
38,sequence_40826,539,sequence_40848,461,141.7391
32,sequence_40826,539,sequence_40791,454,141.7391
33,sequence_40826,539,sequence_40793,456,141.7391
39,sequence_40826,539,sequence_40849,464,141.7391
