,id_seq1,target_seq1,id_seq2,target_seq2,distance
27,sequence_40826,539,sequence_40847,486,0.0053520886776914
34,sequence_40826,539,sequence_40861,464,0.0053506321322032
15,sequence_40826,539,sequence_40844,519,0.0037999765106137
25,sequence_40826,539,sequence_40815,498,0.0062761585515974
37,sequence_40826,539,sequence_40853,463,0.0051067182894766
38,sequence_40826,539,sequence_40848,461,0.0053356820183538
39,sequence_40826,539,sequence_40849,464,0.005635616490238
40,sequence_40826,539,sequence_40850,462,0.0057421197360746
29,sequence_40826,539,sequence_40852,474,0.0051725378379094
35,sequence_40826,539,sequence_40812,464,0.0055097774882988
26,sequence_40826,539,sequence_40851,477,0.0060672165791805
24,sequence_40826,539,sequence_40856,498,0.0053251726136144
28,sequence_40826,539,sequence_40858,495,0.0052715291979095
36,sequence_40826,539,sequence_40854,465,0.0063528792460618
32,sequence_40826,539,sequence_40791,454,0.0059898604006618
33,sequence_40826,539,sequence_40793,456,0.0057680257904769
31,sequence_40826,539,sequence_40846,483,0.0064265210443002
30,sequence_40826,539,sequence_40843,495,0.0046246496477539
