,id_seq1,target_seq1,id_seq2,target_seq2,distance
17,sequence_40826,539,sequence_40816,531,0.0066728682435713
23,sequence_40826,539,sequence_40831,525,0.007733041573974
65,sequence_40826,539,sequence_40834,546,0.0237366385866827
62,sequence_40826,539,sequence_40821,549,0.0205534503737985
63,sequence_40826,539,sequence_40822,549,0.0154433403410885
15,sequence_40826,539,sequence_40844,519,0.0147799494299639
56,sequence_40826,539,sequence_40810,549,0.0338594926265408
69,sequence_40826,539,sequence_40798,579,0.0253399916871531
75,sequence_40826,539,sequence_40795,562,0.0292324740807466
76,sequence_40826,539,sequence_40866,620,0.0282917625880601
58,sequence_40826,539,sequence_40859,543,0.0114220445789771
19,sequence_40826,539,sequence_40818,522,0.0200754875678753
61,sequence_40826,539,sequence_40820,543,0.0213213538384082
21,sequence_40826,539,sequence_40828,519,0.0259794972454119
49,sequence_40826,539,sequence_40797,558,0.0161647714305103
52,sequence_40826,539,sequence_40804,561,0.01167733457244
5,sequence_40826,539,sequence_40809,528,0.0092128183128051
60,sequence_40826,539,sequence_40837,543,0.0168000585313208
47,sequence_40826,539,sequence_40824,523,0.012398032133145
8,sequence_40826,539,sequence_40814,510,0.0225481673057479
50,sequence_40826,539,sequence_40800,558,0.022592608610094
22,sequence_40826,539,sequence_40829,528,0.0098819858694314
6,sequence_40826,539,sequence_40811,534,0.0120633873749903
20,sequence_40826,539,sequence_40827,525,0.0199456929474106
53,sequence_40826,539,sequence_40805,564,0.0147725607769173
73,sequence_40826,539,sequence_40802,560,0.0317956603500567
54,sequence_40826,539,sequence_40864,549,0.0097887359282739
57,sequence_40826,539,sequence_40862,546,0.019924891730754
18,sequence_40826,539,sequence_40817,528,0.007632448226571
7,sequence_40826,539,sequence_40813,528,0.0064354138068773
66,sequence_40826,539,sequence_40832,555,0.0296110151991206
30,sequence_40826,539,sequence_40843,495,0.0166471495709798
70,sequence_40826,539,sequence_40865,580,0.0209183641182504
