,id_seq1,target_seq1,id_seq2,target_seq2,distance
40,sequence_51016,-4.626935645431157,sequence_32131,-6.7244621963556055,7342.6604
136,sequence_51016,-4.626935645431157,sequence_32142,-5.589646359982146,7617.0311
171,sequence_51016,-4.626935645431157,sequence_32171,-6.784871272007103,7913.2469
148,sequence_51016,-4.626935645431157,sequence_32118,-5.976481335612996,8159.3148
187,sequence_51016,-4.626935645431157,sequence_32177,-8.394682697575568,6986.901099999999
179,sequence_51016,-4.626935645431157,sequence_32175,-7.447858237543301,6776.872899999999
92,sequence_51016,-4.626935645431157,sequence_32150,-7.3196132933177775,7221.6075
236,sequence_51016,-4.626935645431157,sequence_32144,-5.565961069145386,8759.5922
239,sequence_51016,-4.626935645431157,sequence_32145,-7.251058911469951,8091.3789
172,sequence_51016,-4.626935645431157,sequence_32170,-8.156613556025587,8001.1622
199,sequence_51016,-4.626935645431157,sequence_32157,-7.7422371130498195,7137.133699999999
44,sequence_51016,-4.626935645431157,sequence_32119,-5.975586824902201,7785.602999999999
143,sequence_51016,-4.626935645431157,sequence_32109,-8.8749984685552,7030.9902
145,sequence_51016,-4.626935645431157,sequence_32140,-8.622125342490829,7294.7984
33,sequence_51016,-4.626935645431157,sequence_32148,-6.566272408536558,8102.672099999999
174,sequence_51016,-4.626935645431157,sequence_32179,-7.381695972507586,7563.3992
139,sequence_51016,-4.626935645431157,sequence_32143,-6.164881645817131,7197.5956
86,sequence_51016,-4.626935645431157,sequence_32181,-7.379938210822062,7023.484399999999
169,sequence_51016,-4.626935645431157,sequence_32169,-6.044258470366566,7165.6614
134,sequence_51016,-4.626935645431157,sequence_32110,-6.435581273863229,7890.3494
149,sequence_51016,-4.626935645431157,sequence_32146,-7.807595902051432,7373.8446
193,sequence_51016,-4.626935645431157,sequence_32111,-7.720394486348803,8619.731899999999
287,sequence_51170,-5.599110392902725,sequence_32131,-6.7244621963556055,7104.3644
383,sequence_51170,-5.599110392902725,sequence_32142,-5.589646359982146,6694.2503
418,sequence_51170,-5.599110392902725,sequence_32171,-6.784871272007103,6713.5618
395,sequence_51170,-5.599110392902725,sequence_32118,-5.976481335612996,7718.898499999999
434,sequence_51170,-5.599110392902725,sequence_32177,-8.394682697575568,7126.0418
426,sequence_51170,-5.599110392902725,sequence_32175,-7.447858237543301,7982.6312
339,sequence_51170,-5.599110392902725,sequence_32150,-7.3196132933177775,6481.7543
483,sequence_51170,-5.599110392902725,sequence_32144,-5.565961069145386,7856.275399999999
486,sequence_51170,-5.599110392902725,sequence_32145,-7.251058911469951,7018.9007
419,sequence_51170,-5.599110392902725,sequence_32170,-8.156613556025587,7769.488800000001
446,sequence_51170,-5.599110392902725,sequence_32157,-7.7422371130498195,7741.1541
291,sequence_51170,-5.599110392902725,sequence_32119,-5.975586824902201,7029.263500000001
390,sequence_51170,-5.599110392902725,sequence_32109,-8.8749984685552,8537.209499999999
392,sequence_51170,-5.599110392902725,sequence_32140,-8.622125342490829,7910.635899999999
280,sequence_51170,-5.599110392902725,sequence_32148,-6.566272408536558,7532.606
421,sequence_51170,-5.599110392902725,sequence_32179,-7.381695972507586,7181.2221
386,sequence_51170,-5.599110392902725,sequence_32143,-6.164881645817131,7491.7499
333,sequence_51170,-5.599110392902725,sequence_32181,-7.379938210822062,7462.5054
416,sequence_51170,-5.599110392902725,sequence_32169,-6.044258470366566,6858.4579
381,sequence_51170,-5.599110392902725,sequence_32110,-6.435581273863229,7686.7482
396,sequence_51170,-5.599110392902725,sequence_32146,-7.807595902051432,7178.6135
440,sequence_51170,-5.599110392902725,sequence_32111,-7.720394486348803,7802.7991
534,sequence_32130,-5.7157882520247325,sequence_32131,-6.7244621963556055,2293.5960000000005
630,sequence_32130,-5.7157882520247325,sequence_32142,-5.589646359982146,2828.4454000000005
665,sequence_32130,-5.7157882520247325,sequence_32171,-6.784871272007103,8253.6569
642,sequence_32130,-5.7157882520247325,sequence_32118,-5.976481335612996,1631.7264000000005
681,sequence_32130,-5.7157882520247325,sequence_32177,-8.394682697575568,4682.169000000001
673,sequence_32130,-5.7157882520247325,sequence_32175,-7.447858237543301,5787.631600000001
586,sequence_32130,-5.7157882520247325,sequence_32150,-7.3196132933177775,4987.7857
730,sequence_32130,-5.7157882520247325,sequence_32144,-5.565961069145386,4188.0434000000005
733,sequence_32130,-5.7157882520247325,sequence_32145,-7.251058911469951,4759.899799999999
666,sequence_32130,-5.7157882520247325,sequence_32170,-8.156613556025587,6666.6663
693,sequence_32130,-5.7157882520247325,sequence_32157,-7.7422371130498195,6530.704900000001
538,sequence_32130,-5.7157882520247325,sequence_32119,-5.975586824902201,1785.5324999999998
637,sequence_32130,-5.7157882520247325,sequence_32109,-8.8749984685552,2059.0573
639,sequence_32130,-5.7157882520247325,sequence_32140,-8.622125342490829,2691.5005
527,sequence_32130,-5.7157882520247325,sequence_32148,-6.566272408536558,2565.5261
668,sequence_32130,-5.7157882520247325,sequence_32179,-7.381695972507586,5220.486800000001
633,sequence_32130,-5.7157882520247325,sequence_32143,-6.164881645817131,1629.3360000000002
580,sequence_32130,-5.7157882520247325,sequence_32181,-7.379938210822062,6530.5499
663,sequence_32130,-5.7157882520247325,sequence_32169,-6.044258470366566,5985.5266
628,sequence_32130,-5.7157882520247325,sequence_32110,-6.435581273863229,2622.0704
643,sequence_32130,-5.7157882520247325,sequence_32146,-7.807595902051432,2271.2999
687,sequence_32130,-5.7157882520247325,sequence_32111,-7.720394486348803,5377.2784
