,id_seq1,target_seq1,id_seq2,target_seq2,distance
255,sequence_53082,55.0,sequence_19347,58.9,0.0597169992548185
228,sequence_53082,55.0,sequence_19351,60.9,0.0821021315192242
96,sequence_53082,55.0,sequence_53065,44.8,0.0653147762761229
70,sequence_53082,55.0,sequence_19410,49.9,0.0850131166350228
21,sequence_53082,55.0,sequence_19447,51.0,0.0887779251841357
223,sequence_53082,55.0,sequence_19472,59.9,0.084467153379287
113,sequence_53082,55.0,sequence_19403,50.9,0.0914705417060596
100,sequence_53082,55.0,sequence_20057,51.9,0.06896172851662
16,sequence_53082,55.0,sequence_53062,49.1,0.0614634037456436
220,sequence_53082,55.0,sequence_19353,64.3,0.0879491898768828
48,sequence_53082,55.0,sequence_19497,54.9,0.1260987708108211
258,sequence_53082,55.0,sequence_19380,48.1,0.080764967653061
122,sequence_53082,55.0,sequence_20073,51.0,0.0710275298739861
195,sequence_53082,55.0,sequence_19424,50.9,0.0896474762611864
241,sequence_53082,55.0,sequence_53083,51.0,0.0216453228204154
72,sequence_53082,55.0,sequence_19439,49.5,0.0825898298823771
166,sequence_53082,55.0,sequence_19408,51.1,0.0860865262395922
204,sequence_53082,55.0,sequence_19360,63.5,0.0890116846262331
145,sequence_53082,55.0,sequence_19469,50.5,0.1217817720350627
253,sequence_53082,55.0,sequence_53099,53.0,0.0441738610492675
123,sequence_53082,55.0,sequence_19442,47.4,0.0789634725680171
252,sequence_53082,55.0,sequence_53084,39.0,0.0397860528326196
136,sequence_53082,55.0,sequence_53069,50.9,0.0714209353061131
34,sequence_53082,55.0,sequence_20072,48.7,0.0718399610244883
52,sequence_53082,55.0,sequence_19405,48.7,0.0902025498530945
3,sequence_53082,55.0,sequence_20036,52.9,0.0713764667099737
101,sequence_53082,55.0,sequence_19438,56.1,0.0919835311346547
56,sequence_53082,55.0,sequence_19354,60.0,0.0897154390280736
190,sequence_53082,55.0,sequence_19407,49.2,0.0703688141153451
201,sequence_53082,55.0,sequence_19366,60.0,0.0794288990229626
