,id_seq1,target_seq1,id_seq2,target_seq2,distance
21,sequence_47787,5.0,sequence_47663,36.0,758.1971
52,sequence_47787,5.0,sequence_47730,35.0,823.248
24,sequence_47787,5.0,sequence_47796,20.0,644.1013
48,sequence_47787,5.0,sequence_47671,36.0,1035.5809
107,sequence_47787,5.0,sequence_47661,52.0,1092.3386
104,sequence_47787,5.0,sequence_47668,48.0,1218.7454
106,sequence_47787,5.0,sequence_47665,50.0,1340.2459
6,sequence_47787,5.0,sequence_47784,21.0,402.2311
103,sequence_47787,5.0,sequence_47669,32.0,1120.5083
105,sequence_47787,5.0,sequence_47670,97.0,1155.0621
114,sequence_47787,5.0,sequence_47733,25.0,978.2428
46,sequence_47787,5.0,sequence_47664,32.0,913.1919
119,sequence_47787,5.0,sequence_47753,74.0,1031.0065
47,sequence_47787,5.0,sequence_47666,69.0,1059.454
