,id_seq1,target_seq1,id_seq2,target_seq2,distance
95,sequence_53082,55.0,sequence_19511,62.4,181.2765
112,sequence_53082,55.0,sequence_19445,45.5,181.2765
228,sequence_53082,55.0,sequence_19351,60.9,181.2765
113,sequence_53082,55.0,sequence_19403,50.9,141.7391
125,sequence_53082,55.0,sequence_19429,50.9,181.2765
208,sequence_53082,55.0,sequence_19459,59.2,181.2765
16,sequence_53082,55.0,sequence_53062,49.1,141.7391
252,sequence_53082,55.0,sequence_53084,39.0,141.7391
38,sequence_53082,55.0,sequence_20064,47.3,141.7391
66,sequence_53082,55.0,sequence_20056,56.9,181.2765
221,sequence_53082,55.0,sequence_19461,61.2,181.2765
167,sequence_53082,55.0,sequence_53076,46.3,181.2765
213,sequence_53082,55.0,sequence_19463,62.7,181.2765
143,sequence_53082,55.0,sequence_53061,50.6,181.2765
229,sequence_53082,55.0,sequence_19460,61.0,141.7391
176,sequence_53082,55.0,sequence_19484,52.0,141.7391
198,sequence_53082,55.0,sequence_19458,62.9,141.7391
226,sequence_53082,55.0,sequence_19349,58.9,141.7391
216,sequence_53082,55.0,sequence_19350,60.1,181.2765
41,sequence_53082,55.0,sequence_19504,50.6,181.2765
224,sequence_53082,55.0,sequence_19462,63.2,141.7391
124,sequence_53082,55.0,sequence_53077,43.5,141.7391
244,sequence_53082,55.0,sequence_53081,53.0,141.7391
