,id_seq1,target_seq1,id_seq2,target_seq2,distance
27,sequence_40826,539,sequence_40847,486,0.0026
34,sequence_40826,539,sequence_40861,464,0.0021999999999999
15,sequence_40826,539,sequence_40844,519,0.0017
25,sequence_40826,539,sequence_40815,498,0.0034
37,sequence_40826,539,sequence_40853,463,0.0021999999999999
38,sequence_40826,539,sequence_40848,461,0.0022999999999999
39,sequence_40826,539,sequence_40849,464,0.0022
40,sequence_40826,539,sequence_40850,462,0.0026
29,sequence_40826,539,sequence_40852,474,0.0022999999999999
35,sequence_40826,539,sequence_40812,464,0.0023
26,sequence_40826,539,sequence_40851,477,0.0033
24,sequence_40826,539,sequence_40856,498,0.0025
28,sequence_40826,539,sequence_40858,495,0.0022
36,sequence_40826,539,sequence_40854,465,0.0029
32,sequence_40826,539,sequence_40791,454,0.0022
33,sequence_40826,539,sequence_40793,456,0.0023999999999999
31,sequence_40826,539,sequence_40846,483,0.0033
30,sequence_40826,539,sequence_40843,495,0.0017999999999999
