,id_seq1,target_seq1,id_seq2,target_seq2,distance
73,sequence_47787,5.0,sequence_47672,76.0,1400.998347436259
122,sequence_47787,5.0,sequence_47715,101.0,1469.4242492720743
30,sequence_47787,5.0,sequence_47681,44.0,1401.3897699826198
32,sequence_47787,5.0,sequence_47680,73.0,1337.8444174516446
84,sequence_47787,5.0,sequence_47709,119.0,1475.4340039771553
57,sequence_47787,5.0,sequence_47741,102.0,1482.7136101107658
39,sequence_47787,5.0,sequence_47682,53.0,1335.419661611364
121,sequence_47787,5.0,sequence_47742,108.0,1481.1939922896631
123,sequence_47787,5.0,sequence_47718,81.0,1303.4830710189833
36,sequence_47787,5.0,sequence_47683,75.0,1426.6495548192063
74,sequence_47787,5.0,sequence_47705,71.0,1404.982075400882
13,sequence_47787,5.0,sequence_47679,44.0,1337.3718039508983
59,sequence_47787,5.0,sequence_47752,67.0,1008.9401745868236
68,sequence_47787,5.0,sequence_47770,25.0,1103.913002829281
116,sequence_47787,5.0,sequence_47755,100.0,1138.5871611272191
