,id_seq1,target_seq1,id_seq2,target_seq2,distance
64,sequence_40826,539,sequence_40823,546,0.5298570508680354
51,sequence_40826,539,sequence_40803,549,0.6809528885390446
65,sequence_40826,539,sequence_40834,546,0.8426868442216695
62,sequence_40826,539,sequence_40821,549,1.0
63,sequence_40826,539,sequence_40822,549,1.0
59,sequence_40826,539,sequence_40836,543,1.0
79,sequence_40826,539,sequence_40867,622,3.8716683393701135
56,sequence_40826,539,sequence_40810,549,1.0
69,sequence_40826,539,sequence_40798,579,1.8716683393701143
75,sequence_40826,539,sequence_40795,562,2.0
58,sequence_40826,539,sequence_40859,543,1.0
78,sequence_40826,539,sequence_40788,510,1.93853116856104
61,sequence_40826,539,sequence_40820,543,0.866134111818825
43,sequence_40826,539,sequence_40860,535,0.3965440921362743
49,sequence_40826,539,sequence_40797,558,1.0
26,sequence_40826,539,sequence_40851,477,2.179294523774823
52,sequence_40826,539,sequence_40804,561,0.3965440921362743
16,sequence_40826,539,sequence_40838,531,0.491575929008376
5,sequence_40826,539,sequence_40809,528,1.0
60,sequence_40826,539,sequence_40837,543,1.0
50,sequence_40826,539,sequence_40800,558,0.5194862752900336
4,sequence_40826,539,sequence_40807,528,1.0
67,sequence_40826,539,sequence_40833,549,0.5194862752900336
3,sequence_40826,539,sequence_40806,525,0.778016770350772
71,sequence_40826,539,sequence_40863,566,2.0
31,sequence_40826,539,sequence_40846,483,2.4865370534318547
6,sequence_40826,539,sequence_40811,534,0.8716683393701143
53,sequence_40826,539,sequence_40805,564,0.6170645508384873
0,sequence_40826,539,sequence_40787,510,1.0
73,sequence_40826,539,sequence_40802,560,1.3856203871088586
54,sequence_40826,539,sequence_40864,549,1.0
57,sequence_40826,539,sequence_40862,546,0.866134111818825
42,sequence_40826,539,sequence_40790,523,0.866134111818825
7,sequence_40826,539,sequence_40813,528,1.0
66,sequence_40826,539,sequence_40832,555,1.0
72,sequence_40826,539,sequence_40801,561,1.391154614660148
45,sequence_40826,539,sequence_40835,535,1.0
41,sequence_40826,539,sequence_40792,517,1.0
70,sequence_40826,539,sequence_40865,580,1.8716683393701143
