id,label
sequence_40816,0
sequence_40823,1
sequence_40847,1
sequence_40831,1
sequence_40855,2
sequence_40803,3
sequence_40834,4
sequence_40821,2
sequence_40822,1
sequence_40836,3
sequence_40840,3
sequence_40867,3
sequence_40861,3
sequence_40839,4
sequence_40844,1
sequence_40815,1
sequence_40853,3
sequence_40810,2
sequence_40798,2
sequence_40795,1
sequence_40866,2
sequence_40859,2
sequence_40788,0
sequence_40848,3
sequence_40830,3
sequence_40818,3
sequence_40849,4
sequence_40820,2
sequence_40828,1
sequence_40850,1
sequence_40860,3
sequence_40852,0
sequence_40797,4
sequence_40812,2
sequence_40851,3
sequence_40804,1
sequence_40841,3
sequence_40856,2
sequence_40857,3
sequence_40858,0
sequence_40854,1
sequence_40838,3
sequence_40809,1
sequence_40825,3
sequence_40791,0
sequence_40793,0
sequence_40837,2
sequence_40824,1
sequence_40814,4
sequence_40800,1
sequence_40807,3
sequence_40826,2
sequence_40789,3
sequence_40806,2
sequence_40842,3
sequence_40845,0
sequence_40863,1
sequence_40829,1
sequence_40799,4
sequence_40846,4
sequence_40811,1
sequence_40827,1
sequence_40805,4
sequence_40808,4
sequence_40787,3
sequence_40796,4
sequence_40802,2
sequence_40864,1
sequence_40862,1
sequence_40790,0
sequence_40817,2
sequence_40813,0
sequence_40819,4
sequence_40832,1
sequence_40801,3
sequence_40835,3
sequence_40792,0
sequence_40794,1
sequence_40843,1
sequence_40865,3
