,id_seq1,target_seq1,id_seq2,target_seq2,distance
13,sequence_40826,539,sequence_40841,528,393.2089811405252
69,sequence_40826,539,sequence_40798,579,1162.915223568812
22,sequence_40826,539,sequence_40829,528,2094.507365203811
79,sequence_40826,539,sequence_40867,622,1573.664637545624
20,sequence_40826,539,sequence_40827,525,594.139255050792
76,sequence_40826,539,sequence_40866,620,1333.4564314021663
77,sequence_40826,539,sequence_40799,597,1449.0680548015332
12,sequence_40826,539,sequence_40840,528,526.004546752649
68,sequence_40826,539,sequence_40830,558,863.464549751627
78,sequence_40826,539,sequence_40788,510,1206.930724506767
70,sequence_40826,539,sequence_40865,580,953.0178134018112
21,sequence_40826,539,sequence_40828,519,1126.352200663949
72,sequence_40826,539,sequence_40801,561,894.9526045724601
