,id_seq1,target_seq1,id_seq2,target_seq2,distance
255,sequence_53082,55.0,sequence_19347,58.9,0.0013635751050646
95,sequence_53082,55.0,sequence_19511,62.4,0.0024152601410626
153,sequence_53082,55.0,sequence_19426,56.3,0.0025433066769807
235,sequence_53082,55.0,sequence_19517,61.6,0.002125021056161
199,sequence_53082,55.0,sequence_19470,61.0,0.0020617309759667
223,sequence_53082,55.0,sequence_19472,59.9,0.0027102413977714
85,sequence_53082,55.0,sequence_20062,57.9,0.0015075313445144
208,sequence_53082,55.0,sequence_19459,59.2,0.0025224546138576
227,sequence_53082,55.0,sequence_19478,60.1,0.0020058578604532
131,sequence_53082,55.0,sequence_19467,64.4,0.0022458109953217
212,sequence_53082,55.0,sequence_19480,62.8,0.0019206270665312
182,sequence_53082,55.0,sequence_20053,54.7,0.0020154675851322
114,sequence_53082,55.0,sequence_19428,49.3,0.0020401915865027
74,sequence_53082,55.0,sequence_19451,51.0,0.0024378395911218
231,sequence_53082,55.0,sequence_19482,59.3,0.0016969747408788
40,sequence_53082,55.0,sequence_19498,63.2,0.0026192613206176
210,sequence_53082,55.0,sequence_19465,62.9,0.0025165109571877
107,sequence_53082,55.0,sequence_20076,55.7,0.001704107813932
211,sequence_53082,55.0,sequence_19476,62.2,0.0023440035812973
144,sequence_53082,55.0,sequence_19448,46.3,0.0021680557506102
218,sequence_53082,55.0,sequence_19471,60.0,0.0022571114171322
66,sequence_53082,55.0,sequence_20056,56.9,0.001322199559659
181,sequence_53082,55.0,sequence_19502,59.9,0.0020355877994534
7,sequence_53082,55.0,sequence_19477,61.5,0.0026571882564778
221,sequence_53082,55.0,sequence_19461,61.2,0.0022269568453081
213,sequence_53082,55.0,sequence_19463,62.7,0.0021792460414962
236,sequence_53082,55.0,sequence_19520,58.7,0.0020805256808634
140,sequence_53082,55.0,sequence_19516,51.9,0.0021107829851972
146,sequence_53082,55.0,sequence_19449,54.3,0.0029047877557242
209,sequence_53082,55.0,sequence_19481,63.1,0.0021543477108425
99,sequence_53082,55.0,sequence_19515,50.4,0.0026751405091518
149,sequence_53082,55.0,sequence_19466,56.9,0.0018920556102838
232,sequence_53082,55.0,sequence_19518,61.6,0.0024372709005247
219,sequence_53082,55.0,sequence_19475,59.1,0.0019730744879962
234,sequence_53082,55.0,sequence_19503,60.0,0.0022938294201961
222,sequence_53082,55.0,sequence_19483,60.6,0.0019800127455916
69,sequence_53082,55.0,sequence_19443,48.0,0.0024478841769336
239,sequence_53082,55.0,sequence_19513,61.0,0.0024108362029087
156,sequence_53082,55.0,sequence_19514,53.0,0.0023049196724271
207,sequence_53082,55.0,sequence_19473,60.6,0.0022006462320726
141,sequence_53082,55.0,sequence_19512,54.4,0.0025246090117458
65,sequence_53082,55.0,sequence_19357,58.5,0.002623819499403
139,sequence_53082,55.0,sequence_19423,61.2,0.0029242673516446
26,sequence_53082,55.0,sequence_19450,46.0,0.0030123511103765
205,sequence_53082,55.0,sequence_19474,64.4,0.0025159219593532
