,id_seq1,target_seq1,id_seq2,target_seq2,distance
89,sequence_53082,55.0,sequence_19422,46.6,0.0004805882165638
19,sequence_53082,55.0,sequence_19417,47.9,0.0005414461329976
103,sequence_53082,55.0,sequence_19389,44.0,0.0005012257760975
194,sequence_53082,55.0,sequence_19398,46.2,0.0004939734616341
137,sequence_53082,55.0,sequence_19418,47.2,0.0004595147039498
349,sequence_19402,43.0,sequence_19422,46.6,0.0003267452928346
279,sequence_19402,43.0,sequence_19417,47.9,0.0002853036992664
363,sequence_19402,43.0,sequence_19389,44.0,0.0003098465166769
454,sequence_19402,43.0,sequence_19398,46.2,0.0002690612808825
397,sequence_19402,43.0,sequence_19418,47.2,0.0003398414953271
