,id_seq1,target_seq1,id_seq2,target_seq2,distance
58,sequence_47787,5.0,sequence_47743,63.0,0.0001910894471566
60,sequence_47787,5.0,sequence_47745,83.0,0.0001579625668937
59,sequence_47787,5.0,sequence_47752,67.0,0.0001702943305174
53,sequence_47787,5.0,sequence_47758,22.0,0.0001462440793285
62,sequence_47787,5.0,sequence_47748,79.0,0.0001549693108086
61,sequence_47787,5.0,sequence_47747,72.0,0.0001646290130535
64,sequence_47787,5.0,sequence_47744,69.0,0.000169071729594
25,sequence_47787,5.0,sequence_47750,25.0,0.0001255745672982
22,sequence_47787,5.0,sequence_47757,36.0,0.0001369863822544
150,sequence_47787,5.0,sequence_47736,19.0,0.0001065498363742
