,id_seq1,target_seq1,id_seq2,target_seq2,distance
145,sequence_47787,5.0,sequence_47729,34.0,0.0050251256281407
147,sequence_47787,5.0,sequence_47737,27.0,0.007537688442211
26,sequence_47787,5.0,sequence_47760,26.0,0.007537688442211
140,sequence_47787,5.0,sequence_47728,12.0,0.0025125628140703
9,sequence_47787,5.0,sequence_47772,12.0,0.0025125628140703
29,sequence_47787,5.0,sequence_47771,18.0,0.007537688442211
25,sequence_47787,5.0,sequence_47750,25.0,0.007537688442211
150,sequence_47787,5.0,sequence_47736,19.0,0.0050251256281407
12,sequence_47787,5.0,sequence_47685,24.0,0.007537688442211
31,sequence_47787,5.0,sequence_47696,47.0,0.0100502512562814
14,sequence_47787,5.0,sequence_47695,52.0,0.007537688442211
