,id_seq1,target_seq1,id_seq2,target_seq2,distance
17,sequence_40826,539,sequence_40816,531,2.5444696677090484e-05
23,sequence_40826,539,sequence_40831,525,3.322736644939539e-05
10,sequence_40826,539,sequence_40855,522,5.087037233530989e-05
65,sequence_40826,539,sequence_40834,546,0.000320830765925
63,sequence_40826,539,sequence_40822,549,0.0001346997155489
15,sequence_40826,539,sequence_40844,519,0.0001189664372103
69,sequence_40826,539,sequence_40798,579,0.0003658699230775
75,sequence_40826,539,sequence_40795,562,0.0005125096745822
76,sequence_40826,539,sequence_40866,620,0.000455963727626
58,sequence_40826,539,sequence_40859,543,7.263934801549077e-05
61,sequence_40826,539,sequence_40820,543,0.0002859295605607
21,sequence_40826,539,sequence_40828,519,0.0003774295110771
49,sequence_40826,539,sequence_40797,558,0.0001474395936911
52,sequence_40826,539,sequence_40804,561,7.745097556355329e-05
24,sequence_40826,539,sequence_40856,498,0.0002178343265967
5,sequence_40826,539,sequence_40809,528,4.729354132204655e-05
60,sequence_40826,539,sequence_40837,543,0.0001587788327841
47,sequence_40826,539,sequence_40824,523,8.552222296998035e-05
8,sequence_40826,539,sequence_40814,510,0.0002899529859002
50,sequence_40826,539,sequence_40800,558,0.0002877340019675
71,sequence_40826,539,sequence_40863,566,0.00035230479564
22,sequence_40826,539,sequence_40829,528,5.335162846664687e-05
6,sequence_40826,539,sequence_40811,534,8.47599675868338e-05
20,sequence_40826,539,sequence_40827,525,0.0002218371113217
53,sequence_40826,539,sequence_40805,564,0.0001238968725451
73,sequence_40826,539,sequence_40802,560,0.0005668167929965
54,sequence_40826,539,sequence_40864,549,5.376858655503636e-05
57,sequence_40826,539,sequence_40862,546,0.0002195011161246
18,sequence_40826,539,sequence_40817,528,3.254432960242415e-05
7,sequence_40826,539,sequence_40813,528,2.2290650629530617e-05
66,sequence_40826,539,sequence_40832,555,0.0005101309426414
72,sequence_40826,539,sequence_40801,561,0.0004938914482464
45,sequence_40826,539,sequence_40835,535,0.0001829468432134
30,sequence_40826,539,sequence_40843,495,0.0001485782025192
